sentence_number,word,surprisal_score,target_phrase
3, children,7.2041015625,no
3, who,2.85878849029541,no
3, were,2.999502182006836,no
3, tortured,5.142140865325928,no
3, and,1.1594820022583008,no
3, starved,4.858734607696533,no
3, @,14.02551555633545,no
3,!,8.937450408935547,no
3, Z,12.149144172668457,no
3,AH,8.367551803588867,no
3,N,2.0172348022460938,no
3, Mr,10.554595947265625,no
3, We,8.56567096710205,no
3,x,4.4231977462768555,no
3,ler,0.061434242874383926,no
3,",",1.9207773208618164,no
3, you,1.989542841911316,no
3, have,2.44207763671875,yes
3, the,3.255520820617676,yes
3, last,6.176272869110107,yes
3, word,0.38050609827041626,yes
3, but,6.853877544403076,no
3, it,3.474297046661377,no
3, has,4.529208183288574,no
3, to,1.3249232769012451,no
3, be,0.16911680996418,no
3, a,3.1315178871154785,no
3, brief,6.883503437042236,no
3, one,0.22860631346702576,no
3, @,4.330327987670898,no
3,!,0.43702784180641174,no
3, W,6.5353288650512695,no
3,EX,3.277024507522583,no
3,LER,0.06689278781414032,no
3, To,6.570337295532227,no
3, fix,8.298227310180664,no
3, the,1.2682085037231445,no
3, problems,3.437278985977173,no
3, are,7.846111297607422,no
3, the,3.4636716842651367,no
3, safe,9.301679611206055,no
3,",",3.0343213081359863,no
3, proven,6.652608394622803,no
3, programs,5.998929500579834,no
3, to,3.1668262481689453,no
3, keep,4.010740756988525,no
3, families,4.0239667892456055,no
3, together,0.4731510281562805,no
3, They,10.51359748840332,no
3,'ve,4.6958327293396,no
3, slashed,9.844033241271973,no
3, foster,6.952896595001221,no
3, care,0.09548845887184143,no
3, populations,7.859368324279785,no
4, was,2.425873041152954,no
4, hit,6.373383045196533,no
4, in,1.684727430343628,no
4, the,0.07459539920091629,no
4, chest,3.11405873298645,no
4, Yesterday,17.571231842041016,no
4,",",1.39114511013031,no
4, she,6.300970077514648,no
4, posted,5.0429463386535645,no
4,:,3.1018712520599365,no
4, ``,8.144871711730957,no
4, You,9.536012649536133,no
4, got,4.1584272384643555,no
4, hurt,4.92178201675415,no
4, trying,5.932476043701172,no
4, to,0.025448845699429512,no
4, protect,3.086334466934204,no
4, me,1.0108877420425415,no
4,",",2.494647741317749,no
4, and,2.435134172439575,no
4, I,1.172428846359253,no
4, have,4.564105987548828,yes
4, no,1.9568982124328613,yes
4, words,1.8030123710632324,yes
4, I,5.906405448913574,no
4, tried,6.968156814575195,no
4, so,3.1553378105163574,no
4, hard,0.09429760277271271,no
4, to,0.42364391684532166,no
4, help,3.072026014328003,no
4, you,0.261898010969162,no
4,",",1.8006633520126343,no
4, and,1.7281739711761475,no
4, I,1.7393293380737305,no
4,'m,2.0007097721099854,no
4, so,1.407310962677002,no
4,",",4.116608142852783,no
4, so,0.030917184427380562,no
4, sorry,0.2571336030960083,no
4, I,3.662221908569336,no
4, could,3.811622142791748,no
4, n,8.143149375915527,no
4,'t,1.1073158979415894,no
4, do,2.113300085067749,no
4, more,1.57374906539917,no
5, IQ,10.768877983093262,no
5, is,1.0696089267730713,no
5, much,4.987957000732422,no
5, higher,0.6252190470695496,no
5, than,0.12063120305538177,no
5, theirs,5.3857574462890625,no
5,",",1.802059531211853,no
5, all,7.320791244506836,no
5, right,2.0092368125915527,no
5,?,1.4090166091918945,no
5, I,1.7979662418365479,no
5, have,3.0720911026000977,no
5, a,1.3780393600463867,no
5, very,3.218494415283203,no
5, good,1.9177296161651611,no
